Unit Postcode,All usual residents,Males,Females,Households
BT191EX,31,17,14,14
BT191EY,39,17,22,16
BT191EZ,59,25,34,23
BT191FG,89,38,51,50
BT191FJ,22,9,13,15
BT191FL,10,1,9,6
BT191FP,8,4,4,5
BT191FQ,18,10,8,4
BT191FW,19,8,11,11
BT191FY,24,9,15,9
BT191FZ,*,*,*,*
BT191GH,47,27,20,13
BT191GJ,127,70,57,44
BT191GL,60,34,26,18
BT191GN,33,17,16,12
BT191GP,212,106,106,68
BT191GR,98,41,57,33
BT191GS,33,17,16,24
BT191GT,14,8,6,9
BT191GU,12,3,9,8
BT191GW,137,66,71,46
BT191GY,9,5,4,4
BT191GZ,19,8,11,0
BT191HA,27,14,13,15
BT191HB,20,11,9,10
BT191HD,52,23,29,26
BT191HE,13,3,10,4
BT191HF,16,5,11,8
BT191HG,31,14,17,10
BT191HH,17,9,8,7
BT191HJ,34,16,18,18
BT191HL,37,18,19,18
BT191HN,11,4,7,5
BT191HP,93,40,53,38
BT191HQ,101,49,52,42
BT191HR,59,30,29,21
BT191HS,10,5,5,5
BT191HT,14,6,8,4
BT191HU,19,9,10,6
BT191HW,12,6,6,8
BT191HX,96,45,51,41
BT191HY,24,12,12,12
BT191JA,44,20,24,24
BT191JB,23,14,9,8
BT191JD,19,8,11,10
BT191JE,17,6,11,9
BT191JF,18,10,8,8
BT191JG,95,51,44,38
BT191JJ,65,30,35,27
BT191JL,52,26,26,22
BT191JN,62,29,33,28
BT191JP,41,18,23,11
BT191JQ,17,7,10,10
BT191JR,*,*,*,*
BT191JT,13,6,7,4
BT191JU,49,23,26,26
BT191JW,40,19,21,18
BT191JX,9,4,5,5
BT191JY,21,9,12,6
BT191JZ,41,18,23,22
BT191LA,36,19,17,15
BT191LB,109,51,58,45
BT191LD,19,9,10,7
BT191LE,59,27,32,26
BT191LF,89,45,44,27
BT191LG,19,11,8,8
BT191LH,5,1,4,4
BT191LJ,91,43,48,41
BT191LL,15,8,7,7
BT191LN,*,*,*,*
BT191LP,51,28,23,19
BT191LQ,12,7,5,6
BT191LR,22,7,15,14
BT191LS,38,17,21,14
BT191LU,64,32,32,31
BT191LX,*,*,*,*
BT191LY,37,21,16,14
BT191LZ,45,20,25,18
BT191NA,*,*,*,*
BT191NB,99,55,44,48
BT191NE,10,4,6,4
BT191NG,92,37,55,38
BT191NH,50,26,24,19
BT191NJ,61,27,34,28
BT191NL,35,13,22,22
BT191NN,65,35,30,24
BT191NP,89,43,46,37
BT191NQ,33,16,17,13
BT191NR,69,31,38,31
BT191NS,30,13,17,10
BT191NT,78,42,36,29
BT191NU,76,39,37,36
BT191NW,52,26,26,25
BT191NX,32,15,17,13
BT191NY,28,11,17,12
BT191NZ,56,24,32,22
BT191PA,131,57,74,55
BT191PB,51,25,26,24
BT191PD,32,14,18,14
BT191PE,30,15,15,10
BT191PF,137,64,73,50
BT191PG,26,9,17,10
BT191PH,19,8,11,9
BT191PJ,12,7,5,7
BT191PP,12,6,6,5
BT191PQ,77,37,40,33
BT191PR,7,4,3,4
BT191PS,15,7,8,6
BT191PT,38,18,20,34
BT191PU,18,10,8,7
BT191PW,51,20,31,16
BT191PX,117,60,57,49
BT191PY,54,25,29,21
BT191PZ,97,49,48,48
BT191QA,28,14,14,13
BT191QB,40,12,28,21
BT191QD,66,32,34,31
BT191QE,79,40,39,34
BT191QF,40,18,22,17
BT191QG,52,23,29,21
BT191QH,86,41,45,31
BT191QJ,50,20,30,22
BT191QL,78,47,31,34
BT191QN,21,7,14,14
BT191QP,68,35,33,29
BT191QQ,51,20,31,19
BT191QR,98,39,59,41
BT191QT,58,26,32,26
BT191QU,40,18,22,20
BT191QW,12,4,8,8
BT191QX,30,12,18,10
BT191QY,57,30,27,21
BT191QZ,96,38,58,45
BT191RB,52,24,28,27
BT191RD,41,18,23,17
BT191RE,26,13,13,10
BT191RF,50,22,28,30
BT191RG,10,4,6,3
BT191RH,*,*,*,*
BT191RJ,17,6,11,11
BT191RL,*,*,*,*
BT191RN,12,5,7,7
BT191RP,*,*,*,*
BT191RQ,67,34,33,29
BT191RR,*,*,*,*
BT191RS,21,9,12,12
BT191RT,*,*,*,*
BT191RU,40,16,24,20
BT191RW,26,16,10,13
BT191RX,13,6,7,4
BT191RY,205,102,103,82
BT191RZ,68,33,35,24
BT191SA,87,43,44,41
BT191SB,77,39,38,39
BT191SD,28,9,19,12
BT191SE,94,41,53,48
BT191SF,97,45,52,40
BT191SG,88,39,49,39
BT191SJ,67,28,39,24
BT191SL,49,18,31,27
BT191SN,109,57,52,57
BT191SP,65,23,42,35
BT191SQ,32,14,18,15
BT191SR,54,37,17,48
BT191SS,70,33,37,33
BT191ST,98,51,47,50
BT191SU,109,52,57,49
BT191SW,72,28,44,46
BT191SX,97,46,51,44
BT191TA,3,3,0,0
BT191TD,9,3,6,4
BT191TE,10,5,5,9
BT191TF,5,2,3,4
BT191TG,53,22,31,21
BT191TH,28,12,16,15
BT191TJ,128,63,65,56
BT191TL,52,25,27,18
BT191TN,16,11,5,10
BT191TP,101,48,53,43
BT191TQ,19,10,9,6
BT191TR,17,8,9,8
BT191TS,39,17,22,13
BT191TT,*,*,*,*
BT191TU,13,6,7,5
BT191TW,21,9,12,10
BT191TX,26,13,13,12
BT191TY,29,12,17,18
BT191TZ,27,13,14,13
BT191UA,41,22,19,13
BT191UB,121,60,61,50
BT191UD,21,10,11,8
BT191UE,8,3,5,5
BT191UF,19,9,10,7
BT191UG,7,4,3,6
BT191UH,*,*,*,*
BT191UJ,19,9,10,6
BT191UL,10,5,5,5
BT191UN,7,4,3,4
BT191UQ,*,*,*,*
BT191UR,*,*,*,*
BT191UT,50,30,20,20
BT191UU,16,8,8,7
BT191UW,11,5,6,5
BT191UY,64,31,33,19
BT191UZ,21,9,12,8
BT191WB,20,10,10,5
BT191WF,87,35,52,48
BT191WG,44,20,24,15
BT191WH,49,23,26,23
BT191XA,5,1,4,4
BT191XB,*,*,*,*
BT191XD,10,6,4,4
BT191XE,11,6,5,3
BT191XF,20,13,7,6
BT191XG,49,27,22,20
BT191XH,9,4,5,4
BT191XJ,53,28,25,20
BT191XL,19,9,10,11
BT191XN,31,14,17,15
BT191XQ,12,7,5,4
BT191XS,*,*,*,*
BT191XT,6,1,5,5
BT191XU,*,*,*,*
BT191XX,155,75,80,50
BT191XY,*,*,*,*
BT191YE,97,50,47,26
BT191YF,24,9,15,7
BT191YG,25,11,14,9
BT191YH,13,6,7,3
BT191YJ,127,66,61,41
BT191YL,18,7,11,8
BT191YN,110,47,63,36
BT191YP,32,15,17,10
BT191YQ,*,*,*,*
BT191YR,80,41,39,27
BT191YS,62,32,30,21
BT191YT,33,16,17,11
BT191YU,122,57,65,32
BT191YW,92,49,43,27
BT191YX,61,39,22,17
BT191YY,91,43,48,30
BT191YZ,*,*,*,*
BT196AA,43,24,19,19
BT196AB,52,24,28,22
BT196AD,10,6,4,4
BT196AE,37,18,19,18
BT196AF,29,16,13,14
BT196AG,19,11,8,10
BT196AH,14,8,6,6
BT196AJ,34,16,18,17
BT196AL,32,15,17,13
BT196AN,40,20,20,17
BT196AP,54,25,29,25
BT196AQ,39,19,20,12
BT196AR,78,41,37,34
BT196AS,11,3,8,5
BT196AT,24,12,12,10
BT196AU,47,27,20,15
BT196AW,12,7,5,4
BT196AX,17,9,8,8
BT196AY,153,67,86,77
BT196AZ,141,65,76,58
BT196BA,128,57,71,48
BT196BB,80,38,42,33
BT196BD,77,36,41,31
BT196BE,131,56,75,49
BT196BG,43,20,23,18
BT196BH,91,38,53,39
BT196BJ,28,13,15,9
BT196BL,36,18,18,13
BT196BN,19,11,8,7
BT196BP,16,7,9,8
BT196BQ,25,12,13,11
BT196BS,65,29,36,26
BT196BT,151,73,78,59
BT196BU,21,9,12,11
BT196BW,16,5,11,8
BT196BX,24,13,11,9
BT196DA,47,24,23,23
BT196DB,42,16,26,22
BT196DD,35,12,23,21
BT196DE,9,5,4,5
BT196DF,42,21,21,20
BT196DG,23,9,14,14
BT196DH,*,*,*,*
BT196DJ,120,63,57,42
BT196DL,22,10,12,10
BT196DN,18,8,10,10
BT196DQ,14,6,8,9
BT196DR,26,14,12,13
BT196DS,50,18,32,34
BT196DT,84,37,47,40
BT196DU,40,19,21,18
BT196DW,*,*,*,*
BT196DX,44,21,23,18
BT196DY,94,52,42,34
BT196DZ,65,35,30,24
BT196EA,26,11,15,12
BT196EB,36,19,17,12
BT196ED,50,21,29,23
BT196EE,22,14,8,9
BT196EF,*,*,*,*
BT196EG,18,7,11,8
BT196EH,56,29,27,23
BT196EJ,44,20,24,15
BT196EL,33,11,22,18
BT196EN,57,26,31,22
BT196EP,44,21,23,14
BT196EQ,52,28,24,18
BT196ER,42,21,21,15
BT196ES,26,10,16,8
BT196ET,44,22,22,19
BT196EU,174,81,93,76
BT196EW,43,23,20,15
BT196EX,39,19,20,15
BT196FA,84,39,45,34
BT196FB,38,18,20,14
BT196FD,83,43,40,31
BT196FF,11,6,5,3
BT196FG,27,16,11,12
BT196FH,31,10,21,21
BT196FJ,*,*,*,*
BT196FN,74,29,45,34
BT196FQ,38,17,21,16
BT196FS,14,6,8,5
BT196FW,143,67,76,51
BT196FY,28,12,16,10
BT196FZ,61,32,29,22
BT196GA,64,30,34,32
BT196GB,95,50,45,34
BT196GD,25,13,12,9
BT196GH,60,32,28,35
BT196GZ,21,7,14,12
BT196HB,11,7,4,4
BT196HF,14,5,9,8
BT196HG,32,13,19,23
BT196HR,28,19,9,11
BT196HS,21,11,10,7
BT196HT,101,48,53,43
BT196HU,63,34,29,19
BT196HW,41,20,21,12
BT196HX,104,50,54,46
BT196HY,15,8,7,10
BT196JB,13,5,8,10
BT196JD,15,5,10,9
BT196JE,*,*,*,*
BT196JF,39,20,19,18
BT196JG,26,12,14,13
BT196JH,22,9,13,16
BT196JJ,10,6,4,7
BT196JL,25,14,11,11
BT196JN,17,12,5,9
BT196JP,*,*,*,*
BT196JQ,31,13,18,16
BT196JR,48,22,26,28
BT196JS,55,22,33,30
BT196JT,14,7,7,6
BT196JU,*,*,*,*
BT196JX,8,3,5,4
BT196JY,26,12,14,14
BT196JZ,105,49,56,50
BT196LA,33,17,16,15
BT196LB,23,14,9,16
BT196LD,15,6,9,6
BT196LE,13,9,4,10
BT196LF,40,21,19,21
BT196LG,17,7,10,9
BT196LH,48,19,29,21
BT196LJ,21,11,10,13
BT196LL,*,*,*,*
BT196LN,*,*,*,*
BT196LP,34,18,16,14
BT196LQ,53,28,25,19
BT196LR,61,30,31,24
BT196LS,38,18,20,15
BT196LT,9,4,5,4
BT196LU,35,17,18,14
BT196LW,20,10,10,10
BT196LX,47,21,26,21
BT196LY,57,24,33,20
BT196LZ,17,8,9,8
BT196NA,*,*,*,*
BT196NB,44,26,18,16
BT196ND,*,*,*,*
BT196NE,*,*,*,*
BT196NF,199,94,105,77
BT196NG,11,6,5,5
BT196NH,25,11,14,13
BT196NJ,115,57,58,47
BT196NL,162,76,86,61
BT196NN,17,8,9,6
BT196NP,54,27,27,25
BT196NQ,144,76,68,46
BT196NR,61,32,29,24
BT196NS,71,37,34,32
BT196NT,18,9,9,6
BT196NU,25,11,14,11
BT196NW,37,21,16,17
BT196NX,175,83,92,65
BT196NY,18,11,7,8
BT196NZ,33,17,16,13
BT196PD,28,16,12,10
BT196PH,74,39,35,46
BT196PJ,103,49,54,29
BT196PN,30,12,18,19
BT196PP,49,26,23,17
BT196PQ,38,18,20,21
BT196PR,16,7,9,9
BT196PT,11,6,5,6
BT196QX,25,13,12,10
BT196RA,37,19,18,11
BT196RB,42,23,19,12
BT196RD,29,15,14,8
BT196RE,29,15,14,8
BT196RF,138,72,66,41
BT196RG,111,59,52,29
BT196RH,28,12,16,8
BT196RJ,24,14,10,7
BT196RL,71,37,34,20
BT196RQ,70,39,31,18
BT196SA,96,48,48,41
BT196SB,41,19,22,15
BT196SD,67,29,38,26
BT196SE,42,23,19,12
BT196SF,34,19,15,10
BT196SG,21,12,9,8
BT196SJ,85,44,41,30
BT196SL,14,7,7,4
BT196SQ,39,19,20,15
BT196SU,87,44,43,33
BT196TH,74,34,40,37
BT196TJ,83,48,35,28
BT196TL,49,24,25,18
BT196TN,49,25,24,15
BT196TP,29,16,13,9
BT196TS,15,8,7,5
BT196TT,11,4,7,4
BT196TU,62,27,35,25
BT196TW,45,20,25,17
BT196TX,117,48,69,58
BT196TY,40,18,22,16
BT196TZ,113,54,59,46
BT196UA,105,53,52,42
BT196UB,29,14,15,12
BT196UD,43,23,20,18
BT196UF,37,18,19,12
BT196UH,*,*,*,*
BT196UJ,10,6,4,4
BT196UN,18,9,9,5
BT196UQ,75,34,41,22
BT196US,29,12,17,11
BT196UW,68,36,32,21
BT196UY,21,9,12,8
BT196UZ,64,30,34,23
BT196WA,26,13,13,8
BT196WB,28,16,12,10
BT196WD,41,19,22,14
BT196WE,28,13,15,10
BT196WF,53,24,29,15
BT196WG,22,11,11,9
BT196WH,121,54,67,46
BT196WJ,35,17,18,13
BT196WL,33,16,17,11
BT196WN,39,21,18,18
BT196WP,22,10,12,8
BT196WQ,16,8,8,5
BT196WR,83,37,46,26
BT196WS,25,14,11,7
BT196WT,79,37,42,23
BT196WU,*,*,*,*
BT196WW,13,5,8,7
BT196WX,36,18,18,12
BT196XA,35,15,20,12
BT196XB,96,46,50,31
BT196XD,80,40,40,31
BT196XE,33,17,16,12
BT196XF,19,11,8,7
BT196XG,40,16,24,19
BT196XJ,46,24,22,21
BT196XL,54,27,27,17
BT196XN,44,23,21,14
BT196XP,36,17,19,16
BT196XQ,40,24,16,23
BT196XT,53,25,28,15
BT196XU,19,7,12,9
BT196XW,14,7,7,9
BT196XX,25,13,12,9
BT196YA,39,20,19,12
BT196YB,14,4,10,6
BT196YD,31,12,19,10
BT196YH,40,17,23,20
BT196YJ,29,12,17,14
BT196YL,44,23,21,19
BT196YN,42,17,25,18
BT196YW,112,56,56,46
BT196ZA,69,30,39,25
BT196ZB,184,91,93,72
BT196ZD,85,49,36,31
BT196ZE,37,17,20,13
BT196ZF,84,44,40,28
BT196ZG,182,74,108,66
BT196ZH,37,18,19,12
BT196ZJ,46,23,23,17
BT196ZN,98,45,53,37
BT196ZP,36,18,18,12
BT196ZQ,24,13,11,9
BT196ZR,20,13,7,8
BT196ZU,33,6,27,31
BT196ZW,108,53,55,34
BT197AP,22,12,10,8
BT197AR,108,51,57,60
BT197AS,116,52,64,40
BT197AU,50,22,28,29
BT197AX,43,19,24,14
BT197AY,24,11,13,11
BT197BY,82,21,61,8
BT197BZ,44,27,17,17
BT197EA,96,40,56,38
BT197EB,15,9,6,9
BT197ED,81,37,44,32
BT197EL,17,3,14,8
BT197EY,167,85,82,56
BT197EZ,63,32,31,26
BT197FD,15,6,9,6
BT197FE,53,27,26,23
BT197FF,27,14,13,8
BT197FJ,21,10,11,14
BT197FR,31,15,16,12
BT197FX,78,27,51,38
BT197FY,16,6,10,10
BT197FZ,70,34,36,33
BT197GA,11,6,5,6
BT197GB,23,12,11,8
BT197GD,51,23,28,16
BT197GE,27,10,17,18
BT197GF,18,6,12,11
BT197GG,16,9,7,9
BT197GH,49,18,31,16
BT197GJ,66,31,35,19
BT197GL,135,63,72,44
BT197GN,23,11,12,9
BT197GP,47,21,26,16
BT197GQ,38,19,19,18
BT197GR,51,29,22,18
BT197GS,41,24,17,16
BT197GT,80,35,45,29
BT197GU,28,13,15,12
BT197GW,17,5,12,11
BT197GX,59,28,31,20
BT197GY,120,58,62,53
BT197GZ,25,11,14,15
BT197HA,133,72,61,55
BT197HD,*,*,*,*
BT197HE,123,52,71,55
BT197HF,48,25,23,24
BT197HG,14,7,7,5
BT197HH,108,49,59,44
BT197HL,96,43,53,47
BT197HN,115,55,60,43
BT197HP,4,2,2,4
BT197HQ,13,7,6,7
BT197HR,15,10,5,11
BT197HS,*,*,*,*
BT197HT,23,12,11,17
BT197HU,39,27,12,27
BT197HW,18,4,14,9
BT197HX,5,2,3,5
BT197HY,41,14,27,17
BT197HZ,30,14,16,11
BT197JA,85,38,47,33
BT197JB,28,12,16,12
BT197JD,79,32,47,37
BT197JE,11,5,6,5
BT197JG,7,2,5,4
BT197JH,44,23,21,25
BT197JJ,68,38,30,33
BT197JN,8,3,5,4
BT197JQ,*,*,*,*
BT197LA,210,113,97,63
BT197LB,42,21,21,11
BT197LD,*,*,*,*
BT197LE,15,7,8,4
BT197LG,12,5,7,3
BT197LH,41,21,20,11
BT197NB,13,7,6,8
BT197NH,15,5,10,8
BT197NR,40,20,20,16
BT197NT,108,56,52,39
BT197NU,46,23,23,18
BT197NX,55,26,29,18
BT197NY,32,14,18,13
BT197NZ,*,*,*,*
BT197PA,18,7,11,8
BT197PE,*,*,*,*
BT197PG,32,13,19,25
BT197PL,75,36,39,22
BT197PN,54,19,35,29
BT197PQ,95,43,52,43
BT197PS,44,21,23,24
BT197PU,52,17,35,6
BT197PX,19,9,10,9
BT197PY,17,10,7,5
BT197PZ,7,4,3,4
BT197QA,42,23,19,18
BT197QB,24,13,11,7
BT197QD,46,26,20,17
BT197QE,*,*,*,*
BT197QF,47,16,31,11
BT197QG,14,7,7,6
BT197QH,37,18,19,14
BT197QJ,35,18,17,18
BT197QL,22,11,11,8
BT197QN,31,16,15,14
BT197QP,23,13,10,9
BT197QQ,40,17,23,14
BT197QR,*,*,*,*
BT197QT,*,*,*,*
BT197QW,10,6,4,5
BT197RB,51,24,27,20
BT197RE,20,10,10,7
BT197RF,24,12,12,10
BT197RG,75,33,42,55
BT197RH,76,35,41,46
BT197RJ,107,44,63,37
BT197RL,83,39,44,32
BT197RN,80,29,51,35
BT197RQ,105,38,67,47
BT197RU,26,14,12,10
BT197RW,22,10,12,9
BT197RX,17,5,12,6
BT197RY,16,6,10,6
BT197RZ,14,10,4,7
BT197SA,77,38,39,21
BT197SB,19,11,8,6
BT197SE,22,12,10,7
BT197SF,57,27,30,18
BT197SH,23,12,11,9
BT197SJ,22,11,11,8
BT197SL,88,46,42,31
BT197SN,72,36,36,25
BT197SP,18,8,10,6
BT197SQ,33,14,19,17
BT197SR,12,7,5,5
BT197SS,31,17,14,10
BT197ST,32,16,16,14
BT197SU,40,20,20,15
BT197SW,169,83,86,74
BT197SX,20,9,11,8
BT197SY,26,14,12,10
BT197SZ,17,8,9,9
BT197TB,48,21,27,26
BT197TD,97,38,59,47
BT197TE,114,45,69,48
BT197TF,51,23,28,30
BT197TG,96,48,48,58
BT197TH,7,2,5,6
BT197TJ,46,26,20,20
BT197TL,56,25,31,30
BT197TN,71,26,45,38
BT197TP,35,15,20,21
BT197TQ,48,26,22,28
BT197TR,95,48,47,34
BT197TS,158,73,85,67
BT197TT,111,50,61,45
BT197TU,40,23,17,12
BT197TW,*,*,*,*
BT197TX,47,20,27,20
BT197TY,70,36,34,29
BT197UL,20,7,13,8
BT197UT,123,64,59,49
BT197UU,31,12,19,19
BT197WA,250,126,124,72
BT197WB,123,63,60,38
BT197WD,173,80,93,58
BT197WE,41,20,21,21
BT197WF,10,4,6,5
BT197WG,108,57,51,33
BT197WS,15,8,7,7
BT197WY,114,57,57,40
BT197XA,52,28,24,15
BT197XB,45,22,23,13
BT197XD,33,18,15,8
BT197XE,81,40,41,26
BT197XF,27,13,14,9
BT197XG,46,24,22,15
BT197XH,31,15,16,12
BT197XJ,16,8,8,5
BT197XL,166,83,83,77
BT197XN,8,4,4,5
BT197XQ,25,13,12,10
BT197XR,91,40,51,32
BT197XS,98,54,44,39
BT197XW,23,11,12,10
BT197XY,16,7,9,7
BT197XZ,18,11,7,8
BT197YP,20,11,9,10
BT197YR,37,19,18,18
BT197YS,18,10,8,7
BT197YT,30,15,15,16
BT197YU,53,23,30,15
BT197YY,46,18,28,18
BT197ZA,14,8,6,5
BT197ZJ,159,81,78,46
BT197ZL,153,86,67,51
BT197ZN,115,53,62,33
BT197ZP,89,44,45,32
BT197ZQ,40,20,20,15
BT197ZR,16,8,8,6
BT197ZS,52,28,24,16
BT197ZT,27,13,14,9
BT197ZU,*,*,*,*
BT197ZW,70,33,37,25
BT197ZX,57,28,29,21
BT197ZY,138,65,73,48
BT197ZZ,23,12,11,11
BT203AA,*,*,*,*
BT203AB,66,43,23,39
BT203AD,85,54,31,43
BT203AE,103,63,40,48
BT203AF,21,11,10,13
BT203AG,19,8,11,13
BT203AH,40,20,20,19
BT203AQ,118,62,56,59
BT203AU,13,8,5,9
BT203AW,63,41,22,18
BT203AX,*,*,*,*
BT203AY,15,8,7,6
BT203AZ,73,44,29,31
BT203BA,26,14,12,14
BT203BB,88,48,40,43
BT203BD,31,18,13,17
BT203BE,21,14,7,9
BT203BG,12,6,6,4
BT203BH,35,17,18,13
BT203BJ,*,*,*,*
BT203BQ,42,23,19,17
BT203BY,69,37,32,39
BT203BZ,54,19,35,24
BT203DA,52,22,30,25
BT203DB,16,8,8,9
BT203DD,59,28,31,33
BT203DE,14,7,7,6
BT203DF,37,20,17,16
BT203DG,29,10,19,12
BT203DH,72,38,34,30
BT203DJ,119,61,58,43
BT203DL,9,3,6,5
BT203DN,44,26,18,16
BT203DP,17,7,10,8
BT203DQ,80,39,41,26
BT203DR,51,24,27,18
BT203DS,54,24,30,25
BT203DU,47,25,22,16
BT203DW,40,17,23,16
BT203DX,32,17,15,10
BT203DY,27,14,13,11
BT203EA,29,17,12,8
BT203EE,52,24,28,29
BT203EF,49,27,22,24
BT203EG,94,48,46,38
BT203EH,8,4,4,8
BT203EJ,19,7,12,10
BT203EN,147,73,74,59
BT203EP,95,48,47,34
BT203EQ,91,46,45,36
BT203ER,125,56,69,64
BT203ES,25,12,13,13
BT203ET,34,16,18,14
BT203EU,46,23,23,25
BT203EW,75,39,36,33
BT203EX,56,28,28,26
BT203EY,98,51,47,49
BT203EZ,35,15,20,15
BT203FB,7,4,3,6
BT203FD,5,3,2,5
BT203GA,21,10,11,9
BT203GB,155,86,69,71
BT203GD,84,40,44,43
BT203GE,30,13,17,17
BT203GF,49,26,23,34
BT203GG,*,*,*,*
BT203GH,12,7,5,5
BT203GL,13,5,8,9
BT203GN,68,26,42,42
BT203GP,27,11,16,10
BT203GQ,12,5,7,8
BT203GS,35,19,16,27
BT203GT,27,15,12,19
BT203GW,14,5,9,11
BT203GZ,20,9,11,9
BT203HA,113,63,50,46
BT203HB,46,20,26,22
BT203HD,26,11,15,12
BT203HE,80,38,42,30
BT203HF,118,61,57,47
BT203HG,43,20,23,16
BT203HH,49,22,27,20
BT203HJ,95,45,50,35
BT203HL,33,17,16,12
BT203HN,39,19,20,14
BT203HQ,47,21,26,20
BT203HR,88,42,46,37
BT203HT,7,5,2,5
BT203HU,46,23,23,26
BT203HW,56,28,28,22
BT203HX,63,33,30,34
BT203HY,39,23,16,21
BT203HZ,56,28,28,33
BT203JA,86,44,42,45
BT203JB,45,21,24,26
BT203JD,125,66,59,60
BT203JE,102,49,53,49
BT203JF,50,21,29,29
BT203JG,32,17,15,18
BT203JN,50,24,26,23
BT203JP,17,10,7,8
BT203JQ,54,27,27,29
BT203JU,41,21,20,18
BT203JW,17,11,6,8
BT203JX,88,38,50,40
BT203JY,24,12,12,12
BT203JZ,50,18,32,26
BT203LA,39,14,25,15
BT203LB,23,10,13,12
BT203LD,13,6,7,7
BT203LE,11,4,7,5
BT203LF,18,8,10,9
BT203LG,21,10,11,8
BT203LH,63,26,37,26
BT203LJ,93,46,47,52
BT203LL,61,35,26,39
BT203LN,23,11,12,12
BT203LP,161,76,85,68
BT203LQ,43,16,27,18
BT203LR,34,15,19,14
BT203LS,83,33,50,36
BT203LT,54,30,24,23
BT203LU,64,33,31,26
BT203LW,143,69,74,55
BT203LX,35,17,18,13
BT203LY,114,52,62,48
BT203LZ,33,17,16,15
BT203NA,64,34,30,23
BT203NB,20,10,10,8
BT203ND,99,49,50,41
BT203NE,105,53,52,43
BT203NF,60,24,36,32
BT203NG,209,83,126,70
BT203NH,32,19,13,14
BT203NN,28,14,14,14
BT203NP,45,18,27,23
BT203NQ,49,20,29,16
BT203NR,27,14,13,10
BT203NS,13,6,7,7
BT203NT,43,16,27,20
BT203NU,10,4,6,6
BT203NW,20,11,9,7
BT203NX,123,60,63,57
BT203NY,49,23,26,25
BT203NZ,112,57,55,51
BT203PA,23,10,13,9
BT203PB,68,29,39,36
BT203PD,68,32,36,27
BT203PE,11,5,6,3
BT203PF,14,5,9,4
BT203PJ,102,53,49,55
BT203PL,21,3,18,6
BT203PN,16,10,6,6
BT203PP,59,29,30,26
BT203PR,23,11,12,9
BT203PS,29,12,17,22
BT203PT,17,9,8,8
BT203PU,55,26,29,26
BT203PW,62,30,32,31
BT203PX,12,5,7,7
BT203PY,18,11,7,10
BT203PZ,155,78,77,63
BT203QA,26,14,12,11
BT203QB,37,17,20,16
BT203QD,107,53,54,52
BT203QE,8,4,4,4
BT203QF,96,45,51,42
BT203QG,60,33,27,22
BT203QH,48,23,25,42
BT203QJ,105,51,54,47
BT203QL,50,20,30,41
BT203QN,51,24,27,32
BT203QP,28,14,14,10
BT203QQ,88,39,49,42
BT203QR,22,8,14,15
BT203QS,*,*,*,*
BT203QT,38,18,20,24
BT203QW,8,4,4,4
BT203RA,48,24,24,19
BT203RB,*,*,*,*
BT203RD,32,14,18,10
BT203RE,27,14,13,11
BT203RF,98,49,49,40
BT203RG,58,21,37,11
BT203RH,77,37,40,31
BT203RJ,71,37,34,27
BT203RL,12,3,9,8
BT203RN,126,63,63,51
BT203RP,24,11,13,11
BT203RQ,*,*,*,*
BT203RR,16,7,9,5
BT203RS,143,63,80,64
BT203RT,*,*,*,*
BT203RU,73,33,40,35
BT203RW,21,13,8,15
BT203RX,57,34,23,24
BT203RY,22,15,7,10
BT203RZ,30,15,15,10
BT203SA,32,20,12,9
BT203SB,100,49,51,28
BT203SD,113,53,60,44
BT203SF,35,19,16,12
BT203SG,54,25,29,19
BT203SH,55,27,28,19
BT203SJ,79,32,47,34
BT203SL,94,48,46,32
BT203SN,51,26,25,20
BT203SP,44,22,22,13
BT203SQ,34,15,19,14
BT203SR,73,37,36,24
BT203SS,35,18,17,12
BT203ST,34,16,18,16
BT203SU,31,14,17,11
BT203SW,45,21,24,18
BT203SX,21,7,14,13
BT203TA,101,52,49,45
BT203TB,20,10,10,9
BT203TD,95,51,44,46
BT203TE,11,5,6,5
BT203TF,16,9,7,10
BT203TG,72,35,37,33
BT203TH,11,6,5,5
BT203TL,56,25,31,20
BT203TN,59,27,32,18
BT203TP,15,8,7,5
BT203TQ,17,9,8,10
BT203TR,20,9,11,15
BT203TS,7,4,3,4
BT203TT,*,*,*,*
BT203TU,*,*,*,*
BT203TW,44,19,25,17
BT203TX,23,11,12,9
BT203TY,36,15,21,15
BT204BP,48,12,36,9
BT204BQ,*,*,*,*
BT204BU,27,15,12,10
BT204BW,*,*,*,*
BT204BX,76,38,38,29
BT204BY,39,16,23,13
BT204BZ,126,52,74,55
BT204DA,114,54,60,56
BT204DB,146,69,77,57
BT204DD,58,30,28,20
BT204DE,20,12,8,13
BT204DF,31,14,17,20
BT204DG,24,7,17,20
BT204DL,22,11,11,8
BT204DN,*,*,*,*
BT204DR,13,8,5,6
BT204DS,30,14,16,15
BT204DT,30,17,13,19
BT204DU,85,43,42,35
BT204DW,21,11,10,11
BT204DX,17,9,8,10
BT204DY,58,24,34,27
BT204DZ,38,18,20,16
BT204EA,27,11,16,12
BT204EB,30,15,15,20
BT204ED,72,40,32,49
BT204EE,15,6,9,6
BT204EF,22,10,12,12
BT204EG,18,8,10,12
BT204EH,133,68,65,56
BT204EJ,37,18,19,12
BT204EL,141,62,79,56
BT204EN,55,22,33,19
BT204EP,53,22,31,25
BT204EQ,27,15,12,16
BT204ER,7,3,4,7
BT204ES,82,38,44,41
