Unit Postcode,All usual residents,Males,Females,Households
BT4 1PH,16,8,8,11
BT4 1PJ,59,22,37,32
BT4 1PL,26,14,12,16
BT4 1PN,52,20,32,30
BT4 1PP,26,3,23,24
BT4 1PQ,114,55,59,59
BT4 1PR,62,25,37,36
BT4 1PS,73,37,36,37
BT4 1PT,70,31,39,32
BT4 1PU,15,7,8,8
BT4 1PW,112,51,61,46
BT4 1PX,61,33,28,28
BT4 1PY,103,58,45,39
BT4 1PZ,35,9,26,17
BT4 1QA,60,14,46,23
BT4 1QB,41,16,25,20
BT4 1QD,66,33,33,30
BT4 1QE,47,19,28,20
BT4 1QF,127,55,72,70
BT4 1QG,70,33,37,28
BT4 1QH,41,19,22,17
BT4 1QJ,50,35,15,42
BT4 1QL,13,7,6,6
BT4 1QN,41,20,21,17
BT4 1QP,20,9,11,6
BT4 1QR,161,80,81,64
BT4 1QS,14,8,6,6
BT4 1QT,151,71,80,62
BT4 1QU,76,41,35,38
BT4 1QW,106,47,59,44
BT4 1QX,61,33,28,24
BT4 1QY,65,36,29,36
BT4 1QZ,78,38,40,43
BT4 1RB,33,16,17,23
BT4 1RD,57,27,30,22
BT4 1RE,52,30,22,21
BT4 1RF,118,60,58,56
BT4 1RG,103,51,52,48
BT4 1RJ,88,42,46,45
BT4 1RL,71,34,37,32
BT4 1RN,112,67,45,67
BT4 1RQ,28,13,15,18
BT4 1RR,22,7,15,13
BT4 1RS,37,20,17,18
BT4 1RT,7,3,4,6
BT4 1RU,30,15,15,16
BT4 1RW,70,34,36,28
BT4 1RY,24,13,11,10
BT4 1SB,19,14,5,6
BT4 1SD,48,21,27,16
BT4 1SE,65,31,34,27
BT4 1SF,90,47,43,31
BT4 1SG,67,30,37,10
BT4 1SL,11,7,4,5
BT4 1SP,23,8,15,19
BT4 1SQ,30,10,20,16
BT4 1SR,28,14,14,26
BT4 1SS,32,22,10,18
BT4 1SU,47,15,32,42
BT4 1SW,9,4,5,8
BT4 1TL,23,11,12,11
BT4 1TP,19,6,13,10
BT4 1TS,12,5,7,9
BT4 1TY,61,24,37,27
BT4 1TZ,41,20,21,15
BT4 2AA,*,*,*,*
BT4 2AB,46,21,25,20
BT4 2AD,68,30,38,32
BT4 2AE,36,14,22,18
BT4 2AF,19,8,11,16
BT4 2AG,29,17,12,17
BT4 2AH,112,40,72,32
BT4 2AJ,22,9,13,8
BT4 2AL,*,*,*,*
BT4 2AN,*,*,*,*
BT4 2AP,15,7,8,11
BT4 2AQ,50,23,27,20
BT4 2AR,37,19,18,14
BT4 2AS,21,9,12,1
BT4 2AT,74,36,38,41
BT4 2AW,16,6,10,5
BT4 2AX,65,34,31,26
BT4 2AY,17,9,8,6
BT4 2AZ,53,18,35,25
BT4 2BA,57,24,33,29
BT4 2BB,6,2,4,4
BT4 2BD,24,12,12,8
BT4 2BE,43,20,23,22
BT4 2BG,21,10,11,12
BT4 2BH,116,55,61,51
BT4 2BJ,*,*,*,*
BT4 2BL,13,7,6,5
BT4 2BQ,*,*,*,*
BT4 2BT,104,49,55,43
BT4 2BY,29,10,19,14
BT4 2BZ,119,62,57,52
BT4 2DA,28,10,18,9
BT4 2DG,27,12,15,9
BT4 2DH,51,22,29,32
BT4 2DJ,41,15,26,18
BT4 2DL,63,34,29,25
BT4 2DP,13,5,8,4
BT4 2DQ,19,7,12,8
BT4 2DR,70,39,31,25
BT4 2DS,29,12,17,14
BT4 2DT,17,7,10,8
BT4 2DU,23,9,14,10
BT4 2DW,23,16,7,18
BT4 2DX,61,28,33,24
BT4 2DY,45,22,23,14
BT4 2DZ,36,18,18,18
BT4 2EA,77,42,35,33
BT4 2EB,76,45,31,30
BT4 2ED,*,*,*,*
BT4 2EE,93,41,52,32
BT4 2EF,68,32,36,29
BT4 2EG,86,40,46,32
BT4 2EH,59,31,28,20
BT4 2EJ,34,14,20,15
BT4 2EL,19,9,10,8
BT4 2EN,59,30,29,25
BT4 2EP,19,10,9,7
BT4 2EQ,31,17,14,17
BT4 2ER,11,5,6,4
BT4 2ES,46,22,24,15
BT4 2EU,33,16,17,13
BT4 2EW,49,21,28,22
BT4 2EX,16,8,8,6
BT4 2EY,25,13,12,11
BT4 2EZ,39,19,20,16
BT4 2FB,32,17,15,28
BT4 2FD,91,40,51,33
BT4 2FE,56,28,28,22
BT4 2FF,88,41,47,38
BT4 2FG,67,35,32,27
BT4 2FH,30,15,15,14
BT4 2FJ,118,51,67,60
BT4 2FL,129,58,71,54
BT4 2FP,53,20,33,21
BT4 2FQ,24,7,17,14
BT4 2FR,34,15,19,16
BT4 2FS,56,25,31,22
BT4 2FT,94,43,51,39
BT4 2GA,75,36,39,28
BT4 2GB,51,22,29,19
BT4 2GD,54,29,25,16
BT4 2GE,31,15,16,13
BT4 2GF,40,23,17,13
BT4 2GG,93,47,46,36
BT4 2GH,63,28,35,33
BT4 2GJ,43,22,21,20
BT4 2GL,47,21,26,21
BT4 2GN,74,31,43,29
BT4 2GP,46,26,20,13
BT4 2GQ,76,34,42,30
BT4 2GR,93,47,46,42
BT4 2GS,82,38,44,34
BT4 2GT,47,25,22,24
BT4 2GU,6,2,4,4
BT4 2GW,16,5,11,4
BT4 2GX,33,19,14,16
BT4 2GZ,*,*,*,*
BT4 2HB,*,*,*,*
BT4 2HD,5,1,4,4
BT4 2HF,59,32,27,27
BT4 2HG,47,23,24,25
BT4 2HH,54,28,26,24
BT4 2HJ,60,33,27,24
BT4 2HL,56,25,31,23
BT4 2HN,23,12,11,9
BT4 2HP,36,15,21,12
BT4 2HQ,25,11,14,13
BT4 2HR,26,12,14,9
BT4 2HS,22,12,10,10
BT4 2HT,59,27,32,20
BT4 2HU,80,40,40,27
BT4 2HW,37,19,18,13
BT4 2HX,12,7,5,5
BT4 2HY,57,27,30,37
BT4 2HZ,33,15,18,20
BT4 2JA,11,6,5,4
BT4 2JB,22,11,11,10
BT4 2JD,51,22,29,20
BT4 2JE,90,46,44,38
BT4 2JF,28,13,15,16
BT4 2JG,33,13,20,15
BT4 2JH,40,19,21,19
BT4 2JJ,78,43,35,38
BT4 2JN,60,27,33,21
BT4 2JQ,7,4,3,4
BT4 2JR,124,58,66,46
BT4 2JS,19,8,11,10
BT4 2JT,75,42,33,27
BT4 2JW,72,32,40,26
BT4 2JX,80,37,43,25
BT4 2JY,58,30,28,20
BT4 2JZ,58,34,24,19
BT4 2LA,11,7,4,4
BT4 2LB,34,18,16,11
BT4 2LD,46,20,26,19
BT4 2LE,77,41,36,33
BT4 2LG,13,5,8,5
BT4 2LH,7,4,3,4
BT4 2LR,45,19,26,28
BT4 2LS,*,*,*,*
BT4 2LZ,*,*,*,*
BT4 2NA,34,16,18,0
BT4 2ND,124,120,4,0
BT4 2NE,31,16,15,18
BT4 2NF,*,*,*,*
BT4 2NG,7,5,2,5
BT4 2NH,32,18,14,12
BT4 2NJ,91,40,51,28
BT4 2NL,*,*,*,*
BT4 2NN,54,13,41,6
BT4 2NP,52,29,23,20
BT4 2NQ,18,10,8,8
BT4 2NR,*,*,*,*
BT4 2NU,50,25,25,20
BT4 2NW,58,33,25,18
BT4 2NY,106,51,55,51
BT4 2NZ,66,30,36,26
BT4 2PA,126,61,65,55
BT4 2PB,20,9,11,9
BT4 2PD,181,86,95,55
BT4 2PE,9,4,5,5
BT4 2PF,14,7,7,7
BT4 2PH,10,5,5,5
BT4 2PJ,16,8,8,7
BT4 2PS,24,15,9,15
BT4 2PT,46,25,21,25
BT4 2PU,120,55,65,50
BT4 2PW,22,10,12,13
BT4 2PX,8,2,6,4
BT4 2PY,50,23,27,25
BT4 2PZ,84,39,45,39
BT4 2QA,70,33,37,34
BT4 2QB,13,6,7,6
BT4 2QD,25,11,14,10
BT4 2QE,48,26,22,16
BT4 2QF,106,51,55,46
BT4 2QG,113,54,59,45
BT4 2QH,70,29,41,34
BT4 2QJ,61,30,31,30
BT4 2QN,143,55,88,60
BT4 2QP,18,10,8,13
BT4 2QQ,74,36,38,31
BT4 2QR,47,28,19,23
BT4 2QT,56,29,27,31
BT4 2QU,37,15,22,23
BT4 2QW,41,18,23,11
BT4 2RA,29,14,15,9
BT4 2RB,47,15,32,34
BT4 2RE,58,29,29,23
BT4 2RF,37,20,17,12
BT4 2RG,24,12,12,9
BT4 2RH,23,11,12,15
BT4 2RJ,115,57,58,62
BT4 2RL,34,20,14,17
