Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Cleland,"3,006","1,440","1,566","2,990",16,6,74,40.78
Coalburn,"1,303",629,674,"1,303",-,5,38,34.61
Coaltown of Wemyss,596,272,324,594,2,4,15,40.99
Cockenzie,"5,551","2,683","2,868","5,545",6,56,119,46.62
Coldingham,563,256,307,561,2,12,34,16.57
Coldstream,"1,946",929,"1,017","1,932",14,11,87,22.49
Comrie (Perth & Kinross),"1,927",898,"1,029","1,903",24,30,196,9.83
Conon Bridge and Maryburgh,"2,836","1,338","1,498","2,835",1,40,148,19.1
Coupar Angus,"2,262","1,142","1,120","2,260",2,11,90,25.04
Cowdenbeath,"18,528","8,969","9,559","18,357",171,61,615,30.11
Cowie,"2,649","1,289","1,360","2,649",-,4,117,22.67
Coylton,"2,849","1,373","1,476","2,837",12,24,91,31.4
Crail,"1,639",755,884,"1,630",9,36,68,24.01
Creetown,679,332,347,677,2,5,29,23.51
Crieff,"7,368","3,573","3,795","7,095",273,125,338,21.77
Crimond,851,405,446,800,51,4,42,20.09
Cromarty,726,346,380,724,2,15,37,19.75
Crossford (Fife),"2,358","1,157","1,201","2,358",-,46,66,35.49
Crossford (South Lanarkshire),674,324,350,674,-,5,82,8.26
Crossgates,"2,458","1,197","1,261","2,379",79,10,101,24.45
Crosshill,480,226,254,480,-,5,22,21.91
Crosshouse,"2,861","1,389","1,472","2,859",2,10,114,25.08
Croy,"1,026",497,529,"1,026",-,1,25,40.34
Cruden Bay,"1,615",775,840,"1,583",32,12,54,29.71
Cullen,"1,475",717,758,"1,443",32,18,56,26.36
Cumbernauld,"52,270","25,407","26,863","52,056",214,163,"2,086",25.05
Cuminestown,510,245,265,510,-,4,26,19.68
Cumnock,"9,039","4,398","4,641","8,983",56,55,348,26
Cupar,"9,339","4,481","4,858","9,164",175,135,348,26.87
Dailly,895,431,464,895,-,4,28,32.09
Dalbeattie,"4,227","2,011","2,216","4,172",55,38,182,23.16
Dalgety Bay,"9,874","4,886","4,988","9,822",52,115,342,28.84
Dalkeith,"41,309","19,824","21,485","40,920",389,212,"1,407",29.35
Dalmellington and Burnton,"1,411",682,729,"1,362",49,2,51,27.41
Dalry,"5,657","2,661","2,996","5,636",21,27,166,34.15
Dalrymple,"1,535",733,802,"1,535",-,7,63,24.3
Danderhall,"2,732","1,307","1,425","2,723",9,13,56,48.93
Darvel,"3,871","1,910","1,961","3,871",-,19,163,23.74
Dechmont,706,334,372,698,8,5,23,30.21
Denholm,653,302,351,653,-,3,34,19.26
Dingwall,"5,491","2,613","2,878","5,433",58,68,376,14.6
Dollar,"2,717","1,284","1,433","2,641",76,98,137,19.85
Dornoch,"1,208",561,647,"1,144",64,22,226,5.36
Douglas,"1,620",795,825,"1,620",-,10,58,27.86
Doune,"1,633",814,819,"1,628",5,41,82,19.95
Drongan,"3,205","1,515","1,690","3,205",-,13,84,38.12
Drumnadrochit,"1,101",542,559,"1,096",5,22,136,8.11
Drumoak,853,425,428,853,-,8,30,28.15
Drymen,820,370,450,820,-,7,54,15.22
Dufftown,"1,667",826,841,"1,655",12,13,77,21.78
Duffus,329,158,171,329,-,10,17,19.31
Dullatur,697,367,330,697,-,12,33,21.35
Dumbarton,"44,586","21,328","23,258","44,341",245,129,"1,626",27.42
Dumfries,"32,914","15,807","17,107","32,332",582,359,"1,238",26.59
Dunbar,"8,486","4,055","4,431","8,293",193,92,320,26.5
Dunbeg,625,308,317,625,-,4,22,27.88
Dunblane,"8,811","4,211","4,600","8,474",337,209,334,26.38
Dundee,"157,444","75,556","81,888","152,179","5,265",821,"4,936",31.9
Dundonald,"2,652","1,258","1,394","2,606",46,18,85,31.07
Dunfermline,"68,426","33,546","34,880","67,620",806,561,"2,809",24.36
Dunkeld and Birnam,"1,287",617,670,"1,262",25,21,108,11.89
Dunlop,"1,127",532,595,"1,124",3,8,36,31.23
Dunning,942,459,483,942,-,14,46,20.63
Dunoon,"9,562","4,552","5,010","9,290",272,99,452,21.14
Duns,"2,753","1,357","1,396","2,745",8,32,183,15.08
Eaglesfield,691,318,373,691,-,3,43,16.01
Eaglesham,"3,114","1,462","1,652","3,114",-,16,98,31.75
Earlston,"1,779",852,927,"1,774",5,23,69,25.66
East Kilbride,"74,395","35,765","38,630","73,694",701,287,"2,523",29.48
East Linton,"1,731",824,907,"1,724",7,28,76,22.81
East Wemyss,"1,928",914,"1,014","1,896",32,13,90,21.36
Eastriggs,"1,876",925,951,"1,873",3,19,85,22.03
Ecclefechan,821,390,431,819,2,8,52,15.73
Edinburgh,"482,005","234,608","247,397","467,388","14,617","4,679","12,384",38.92
Edzell,908,418,490,877,31,13,56,16.12
Elgin,"23,128","11,142","11,986","22,877",251,249,909,25.43
Elie and Earlsferry,677,316,361,655,22,15,63,10.69
Ellon,"10,268","4,989","5,279","10,135",133,80,387,26.57
Elphinstone,520,257,263,520,-,1,19,27.28
Errol,"1,311",639,672,"1,311",-,11,45,29.11
Erskine,"17,334","8,376","8,958","17,214",120,56,713,24.31
Evanton,"1,379",695,684,"1,379",-,23,106,13.06
Eyemouth,"3,546","1,691","1,855","3,512",34,27,122,29.12
Fairlie,"1,424",685,739,"1,418",6,22,72,19.82
Falkirk,"99,503","48,566","50,937","98,131","1,372",445,"3,776",26.35
Falkland,"1,096",520,576,"1,094",2,14,51,21.52
Fallin,"2,832","1,341","1,491","2,832",-,5,69,40.79
Fauldhouse,"4,843","2,356","2,487","4,793",50,11,134,36.12
Fenwick,"1,038",475,563,998,40,13,53,19.71
Findhorn,901,411,490,885,16,23,70,12.9
Findochty,"1,209",586,623,"1,203",6,14,47,25.93
Fochabers,"1,728",817,911,"1,721",7,20,76,22.67
Forfar,"14,048","6,727","7,321","13,832",216,101,503,27.91
Forgandenny,627,321,306,239,388,16,42,15.01
Forres,"9,951","4,820","5,131","9,812",139,156,433,23
Fort Augustus,621,293,328,601,20,12,110,5.65
Fort William,"10,459","5,053","5,406","10,277",182,134,"1,371",7.63
Forth,"2,257","1,094","1,163","2,257",-,7,63,35.6
Fortrose,"1,367",641,726,"1,361",6,43,147,9.3
Fraserburgh,"13,100","6,436","6,664","12,935",165,102,417,31.43
Freuchie,"1,213",578,635,"1,210",3,12,42,29.14
Friockheim,962,481,481,962,-,6,38,25.3
Galashiels,"14,994","7,182","7,812","14,671",323,175,589,25.45
Galston,"7,723","3,726","3,997","7,716",7,40,273,28.28
