Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Stanley,"1,443",692,751,"1,441",2,9,132,10.96
Steornabhagh (Stornoway),"5,714","2,677","3,037","5,483",231,80,385,14.86
Stewarton,"7,065","3,332","3,733","7,063",2,36,226,31.3
Stirling,"48,051","22,890","25,161","44,715","3,336",448,"2,048",23.47
Stonehaven,"11,431","5,563","5,868","11,248",183,138,323,35.35
Stonehouse,"5,506","2,657","2,849","5,415",91,18,140,39.32
Stoneyburn,"4,041","2,257","1,784","3,525",516,5,184,21.93
Stow,718,357,361,718,-,19,45,15.87
Stranraer,"10,593","5,030","5,563","10,480",113,113,376,28.16
Strathaven,"7,484","3,643","3,841","7,407",77,82,256,29.26
Strathblane,"1,964",914,"1,050","1,923",41,31,103,19.14
Strathkinness,709,352,357,704,5,32,29,24.79
Strathmiglo,881,413,468,881,-,12,36,24.17
Strathpeffer,"1,109",557,552,"1,043",66,12,81,13.71
Strichen,963,476,487,957,6,2,34,27.99
Stromness,"1,758",820,938,"1,729",29,26,89,19.77
Stuartfield,670,310,360,670,-,12,24,27.38
Symington (South Ayrshire),"1,106",531,575,"1,106",-,9,68,16.26
Symington (South Lanarkshire),693,334,359,693,-,19,102,6.8
Tain,"3,655","1,728","1,927","3,631",24,39,223,16.41
Tarbert,"1,179",581,598,"1,178",1,16,103,11.47
Tarbolton,"1,674",827,847,"1,674",-,5,44,38.06
Tarland,698,334,364,694,4,9,36,19.47
Tarves,982,471,511,982,-,11,34,29.18
Tayport,"3,815","1,812","2,003","3,770",45,39,132,29
Thankerton,521,248,273,521,-,2,82,6.36
Thornhill (Dumfries & Galloway),"1,674",782,892,"1,627",47,26,85,19.77
Thornhill (Stirling),513,261,252,513,-,18,30,17.3
Thurso,"7,933","3,828","4,105","7,859",74,118,303,26.22
Tighnabruaich,528,264,264,520,8,8,385,1.37
Tillicoultry,"5,968","2,933","3,035","5,946",22,61,220,27.13
Tobermory,954,459,495,939,15,22,148,6.45
Torphichen,575,268,307,575,-,5,25,23.32
Torphins,"1,380",676,704,"1,338",42,35,80,17.28
Torrance,"2,375","1,162","1,213","2,375",-,26,79,29.95
Townhill,"1,162",563,599,"1,150",12,6,29,40.17
Tranent,"11,642","5,668","5,974","11,565",77,55,273,42.66
Troon,"14,752","7,018","7,734","14,703",49,182,593,24.87
Turriff,"5,177","2,482","2,695","5,122",55,40,175,29.63
Twechar,"1,161",573,588,"1,161",-,2,57,20.46
Ullapool,"1,541",731,810,"1,473",68,26,159,9.7
Uplawmoor,552,279,273,552,-,8,26,20.87
Walkerburn,700,358,342,699,1,4,36,19.39
Waterfoot,"1,275",613,662,"1,275",-,13,36,35.57
Wellbank,608,305,303,608,-,4,30,20.47
Wemyss Bay,"4,687","2,298","2,389","4,686",1,34,193,24.26
West Barns,583,281,302,583,-,3,25,23.2
West Calder,"5,505","2,652","2,853","5,454",51,31,186,29.58
West Kilbride,"4,783","2,266","2,517","4,759",24,37,183,26.11
West Linton,"1,547",728,819,"1,547",-,38,81,19.02
Westhill (Aberdeenshire),"10,984","5,335","5,649","10,922",62,107,423,25.97
Whitburn,"11,748","5,639","6,109","11,662",86,41,315,37.24
Whitecraig,"1,198",584,614,"1,198",-,6,40,30.15
Whitecross,776,384,392,776,-,2,16,47.29
Whitehills,"1,085",530,555,"1,085",-,6,31,34.76
Whithorn,829,399,430,829,-,4,43,19.28
Whiting Bay,626,287,339,572,54,12,108,5.78
Wick,"7,155","3,508","3,647","7,053",102,84,868,8.25
Wigtown,921,441,480,921,-,8,40,23.28
Winchburgh,"2,490","1,208","1,282","2,490",-,6,76,32.85
Yetholm,546,267,279,544,2,4,30,18.43
