Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
PA38 4 (part) Argyll & Bute,501,242,259,492,9,9,"13,107",0.04
PA38 4 (part) Highland,321,156,165,317,4,7,"5,883",0.05
PA4 0,"10,190","4,825","5,365","10,127",63,24,561,18.18
PA4 8,"9,160","4,455","4,705","9,052",108,15,333,27.49
PA4 9,"3,902","1,820","2,082","3,855",47,8,"1,037",3.76
PA41 7,163,73,90,163,-,-,"1,489",0.11
PA42 7,"1,179",586,593,"1,176",3,26,"26,623",0.04
PA43 7,784,369,415,763,21,8,40,19.62
PA44 7,275,137,138,275,-,6,"20,713",0.01
PA45 7,122,64,58,122,-,-,"3,941",0.03
PA46 7,183,92,91,183,-,3,"1,543",0.12
PA47 7,177,84,93,177,-,-,"2,049",0.09
PA48 7,340,165,175,335,5,7,"3,967",0.09
PA49 7,168,85,83,168,-,2,"2,933",0.06
PA5 0,"6,934","3,296","3,638","6,922",12,10,186,37.18
PA5 8,"8,554","4,042","4,512","8,388",166,33,258,33.15
PA5 9,"7,077","3,374","3,703","7,024",53,15,279,25.33
PA6 7,"6,650","3,261","3,389","6,650",-,75,"3,374",1.97
PA60 7,196,84,112,194,2,1,"38,625",0.01
PA61 7,132,58,74,129,3,13,"4,581",0.03
PA64 6,82,39,43,82,-,2,"2,028",0.04
PA65 6,209,97,112,193,16,3,"9,509",0.02
PA66 6,164,71,93,158,6,11,"3,499",0.05
PA67 6,275,122,153,269,6,6,"4,365",0.06
PA7 5,"5,239","2,667","2,572","4,990",249,32,"1,149",4.56
PA70 6,129,67,62,125,4,2,"28,276",0
PA72 6,432,214,218,421,11,16,"18,269",0.02
PA73 6,119,55,64,119,-,5,"9,467",0.01
PA75 6,"1,409",668,741,"1,366",43,31,"15,416",0.09
PA76 6,177,75,102,135,42,1,888,0.2
PA77 6,653,300,353,646,7,12,"7,918",0.08
PA78 6,195,92,103,195,-,15,"7,600",0.03
PA8 6,"6,212","2,997","3,215","6,169",43,17,235,26.39
PA8 7,"9,325","4,501","4,824","9,290",35,35,230,40.54
PA80 5,294,157,137,294,-,7,"26,318",0.01
PA9 1,"1,744",818,926,"1,741",3,10,"1,590",1.1
PH1 1,"9,204","4,359","4,845","9,060",144,171,"3,127",2.94
PH1 2,"13,172","6,264","6,908","13,019",153,45,347,37.99
PH1 3,"10,052","4,859","5,193","9,618",434,124,"15,314",0.66
PH1 4,"4,543","2,262","2,281","4,529",14,62,"14,182",0.32
PH1 5,"7,039","3,641","3,398","6,853",186,20,198,35.56
PH10 6,"6,800","3,232","3,568","6,615",185,75,"6,243",1.09
PH10 7,"4,250","2,065","2,185","4,147",103,37,"48,213",0.09
PH11 8 (part) Angus,351,192,159,344,7,9,"21,021",0.02
PH11 8 (part) Perth & Kinross,"3,054","1,465","1,589","3,035",19,22,"7,874",0.39
PH12 8 (part) Angus,"1,101",551,550,"1,101",-,18,"3,395",0.32
PH12 8 (part) Perth & Kinross,995,483,512,938,57,14,"2,465",0.4
PH13 9 (part) Perth & Kinross,"4,038","2,038","2,000","4,035",3,31,"8,768",0.46
PH14 9 (part) Perth & Kinross,"1,777",856,921,"1,773",4,26,"4,913",0.36
PH15 2,"3,545","1,761","1,784","3,459",86,38,"68,282",0.05
PH16 5,"3,947","1,875","2,072","3,659",288,67,"24,861",0.16
PH17 2,224,117,107,213,11,4,"56,619",0
PH18 5,767,394,373,727,40,17,"65,950",0.01
PH19 1,95,51,44,95,-,2,"32,299",0
PH2 0,"7,769","3,723","4,046","7,705",64,119,"7,784",1
PH2 6,"7,024","3,341","3,683","6,921",103,108,"9,758",0.72
PH2 7,"8,395","4,124","4,271","8,042",353,136,"10,819",0.78
PH2 8,"4,419","2,455","1,964","3,816",603,33,"2,131",2.07
PH2 9,"7,025","3,367","3,658","6,463",562,138,"13,825",0.51
PH20 1,"1,466",703,763,"1,428",38,26,"45,352",0.03
PH21 1,"2,274","1,128","1,146","2,228",46,32,"72,142",0.03
PH22 1,"3,677","1,827","1,850","3,453",224,36,"20,812",0.18
PH23 3,840,408,432,819,21,12,"17,053",0.05
PH24 3,628,309,319,626,2,8,"2,607",0.24
PH25 3,905,445,460,880,25,9,"17,809",0.05
PH26 3 (part) Highland,"3,791","1,834","1,957","3,678",113,51,"33,665",0.11
PH3 1,"5,733","2,759","2,974","5,607",126,96,"11,953",0.48
PH31 4,556,287,269,549,7,13,"44,229",0.01
PH32 4,747,354,393,724,23,20,"4,592",0.16
PH33 6,"6,646","3,257","3,389","6,495",151,84,"33,468",0.2
PH33 7,"5,309","2,520","2,789","5,236",73,88,"66,137",0.08
PH34 4,"1,075",535,540,"1,052",23,19,"59,083",0.02
PH35 4,338,172,166,328,10,8,"59,662",0.01
PH36 4,"1,257",615,642,"1,243",14,35,"35,287",0.04
PH37 4,161,81,80,158,3,8,"29,206",0.01
PH38 4,160,75,85,160,-,5,"17,578",0.01
PH39 4,336,159,177,329,7,9,"4,657",0.07
PH4 1,813,395,418,813,-,12,"4,605",0.18
PH40 4,344,159,185,342,2,7,"4,532",0.08
PH41 4,963,463,500,951,12,15,"24,354",0.04
PH42 4,153,73,80,153,-,5,"15,586",0.01
PH49 4,"1,153",565,588,"1,094",59,12,"44,582",0.03
PH5 2,898,429,469,870,28,14,"2,035",0.44
PH50 4,896,408,488,889,7,7,79,11.34
PH6 2,"2,471","1,179","1,292","2,430",41,42,"29,239",0.08
PH7 3,"5,941","2,927","3,014","5,760",181,104,"8,446",0.7
PH7 4,"3,142","1,513","1,629","2,928",214,64,"8,733",0.36
PH8 0,"2,139","1,053","1,086","1,967",172,32,"37,740",0.06
PH9 0,969,468,501,962,7,18,"13,527",0.07
TD1 1,"5,413","2,620","2,793","5,359",54,64,"4,314",1.25
TD1 2,"6,093","3,041","3,052","6,093",-,90,"16,835",0.36
TD1 3,"6,101","2,839","3,262","5,832",269,91,"5,435",1.12
TD10 6,"1,111",536,575,"1,106",5,19,"9,660",0.12
TD11 3 (part) Scottish Borders,"7,399","3,689","3,710","7,360",39,115,"44,283",0.17
TD12 4,"2,959","1,418","1,541","2,927",32,31,"7,506",0.39
TD13 5 (part) East Lothian,206,96,110,206,-,4,"2,308",0.09
TD13 5 (part) Scottish Borders,697,343,354,694,3,10,"2,315",0.3
TD14 5,"6,315","3,052","3,263","6,256",59,82,"11,346",0.56
TD15 1,"1,197",580,617,"1,197",-,22,"6,153",0.19
TD2 6,"2,570","1,263","1,307","2,568",2,43,"20,455",0.13
TD3 6,"1,067",552,515,"1,067",-,15,"8,341",0.13
TD4 6,"2,354","1,115","1,239","2,349",5,44,"6,805",0.35
TD5 7,"7,021","3,297","3,724","6,942",79,126,"9,865",0.71
TD5 8,"4,197","2,041","2,156","4,195",2,63,"32,404",0.13
TD6 0,"3,414","1,655","1,759","3,406",8,39,"3,153",1.08
TD6 9,"4,434","2,101","2,333","4,307",127,98,"10,649",0.42
TD7 4,"4,447","2,136","2,311","4,420",27,66,"9,046",0.49
TD7 5 (part) Scottish Borders,"2,993","1,513","1,480","2,938",55,54,"51,362",0.06
TD8 6,"6,164","2,945","3,219","6,081",83,94,"28,567",0.22
TD9 0,"4,433","2,174","2,259","4,346",87,40,"41,884",0.11
TD9 7,"3,947","1,906","2,041","3,853",94,31,"14,712",0.27
TD9 8,"5,696","2,712","2,984","5,679",17,63,"16,860",0.34
TD9 9,"4,255","2,111","2,144","4,253",2,38,"12,955",0.33
ZE1 0,"8,436","4,281","4,155","8,330",106,134,"1,948",4.33
ZE2 9,"14,299","7,265","7,034","14,221",78,300,"143,785",0.1
ZE3 9,432,215,217,430,2,11,932,0.46
