Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
IV31 6,"7,926","4,121","3,805","7,321",605,52,"2,114",3.75
IV32 7,"4,800","2,343","2,457","4,790",10,75,"8,948",0.54
IV36 1,"7,247","3,527","3,720","7,204",43,105,284,25.48
IV36 2 (part) Moray,"5,378","2,636","2,742","5,239",139,115,"36,880",0.15
IV36 3,"2,955","1,509","1,446","2,758",197,48,"2,084",1.42
IV4 7,"4,315","2,134","2,181","4,296",19,76,"86,705",0.05
IV40 8,"2,335","1,178","1,157","2,313",22,43,"95,445",0.02
IV41 8,350,179,171,344,6,5,"6,047",0.06
IV42 8,415,207,208,415,-,10,"2,474",0.17
IV43 8,261,131,130,251,10,1,"6,258",0.04
IV44 8,259,111,148,202,57,5,"1,444",0.18
IV45 8,317,159,158,317,-,4,"9,222",0.03
IV46 8,76,37,39,76,-,1,261,0.29
IV47 8,531,263,268,530,1,9,"23,948",0.02
IV48 8,81,38,43,79,2,5,"2,910",0.03
IV49 9,"1,104",568,536,"1,072",32,12,"20,046",0.06
IV5 7,"1,260",615,645,"1,260",-,24,"2,212",0.57
IV51 9,"5,142","2,499","2,643","5,025",117,86,"54,978",0.09
IV52 8,385,181,204,357,28,11,"1,462",0.26
IV53 8,153,73,80,150,3,3,"2,578",0.06
IV54 8,"1,288",646,642,"1,279",9,26,"72,682",0.02
IV55 8,"1,209",599,610,"1,198",11,27,"26,153",0.05
IV56 8,268,131,137,264,4,7,"14,051",0.02
IV6 7,"4,527","2,266","2,261","4,457",70,69,"37,666",0.12
IV63 6,"2,185","1,076","1,109","2,179",6,48,"13,348",0.16
IV63 7,295,152,143,295,-,-,"41,677",0.01
IV7 8,"5,667","2,761","2,906","5,654",13,93,"11,716",0.48
IV8 8,887,425,462,887,-,23,"3,128",0.28
IV9 8,"1,314",621,693,"1,314",-,26,"1,863",0.71
KA1 1,"2,812","1,386","1,426","2,800",12,30,118,23.76
KA1 2,"5,686","2,695","2,991","5,523",163,27,240,23.68
KA1 3,"7,105","3,347","3,758","7,104",1,27,222,32.02
KA1 4,"6,734","3,182","3,552","6,711",23,20,229,29.43
KA1 5 (part) East Ayrshire,"4,985","2,624","2,361","4,402",583,15,"3,347",1.49
KA1 5 (part) South Ayrshire,"1,903",934,969,"1,830",73,29,"3,668",0.52
KA10 6,"10,194","4,806","5,388","10,145",49,125,398,25.64
KA10 7,"5,558","2,675","2,883","5,517",41,73,"1,385",4.01
KA11 1,"10,933","5,205","5,728","10,933",-,38,323,33.88
KA11 2 (part) North Ayrshire,"3,868","1,905","1,963","3,868",-,17,"1,150",3.36
KA11 3,"1,259",587,672,"1,259",-,1,38,33.32
KA11 4,"4,438","2,151","2,287","4,381",57,21,"1,102",4.03
KA11 5,447,214,233,447,-,3,979,0.46
KA12 0,"7,846","3,742","4,104","7,811",35,32,234,33.57
KA12 8,"4,454","2,123","2,331","4,180",274,20,"1,727",2.58
KA12 9,"6,347","2,931","3,416","6,347",-,21,99,64.05
KA13 6,"11,061","5,257","5,804","11,024",37,23,912,12.13
KA13 7 (part) North Ayrshire,"6,147","2,913","3,234","6,032",115,30,"2,737",2.25
KA14 3,548,273,275,548,-,1,390,1.4
KA15 1,"3,884","1,869","2,015","3,842",42,22,"2,883",1.35
KA15 2,"3,282","1,589","1,693","3,220",62,20,"1,825",1.8
KA16 9,"3,265","1,628","1,637","3,254",11,20,"3,680",0.89
KA17 0,"4,100","2,032","2,068","4,100",-,24,"5,870",0.7
KA18 1,"6,803","3,347","3,456","6,747",56,40,257,26.45
KA18 2,"5,592","2,723","2,869","5,507",85,30,"9,726",0.57
KA18 3,"5,531","2,661","2,870","5,531",-,33,"23,380",0.24
KA18 4,"3,475","1,686","1,789","3,475",-,15,"19,504",0.18
KA19 7 (part) South Ayrshire,"4,320","2,050","2,270","4,319",1,45,"20,028",0.22
KA19 8,"3,389","1,668","1,721","3,346",43,36,"8,568",0.4
KA2 0 (part) East Ayrshire,"4,262","2,093","2,169","4,169",93,14,"1,227",3.47
KA2 9 (part) South Ayrshire,"2,882","1,368","1,514","2,836",46,20,"1,886",1.53
KA20 3,"5,112","2,474","2,638","5,051",61,20,292,17.52
KA20 4,"4,306","2,034","2,272","4,306",-,12,533,8.08
KA21 5,"6,014","2,967","3,047","5,902",112,19,230,26.2
KA21 6,"6,800","3,195","3,605","6,681",119,23,"1,434",4.74
KA22 7,"6,511","3,012","3,499","6,511",-,34,131,49.66
KA22 8,"4,671","2,223","2,448","4,576",95,19,"2,011",2.32
KA23 9,"5,215","2,486","2,729","5,191",24,44,"4,013",1.3
KA24 4,"3,604","1,688","1,916","3,599",5,15,"2,465",1.46
KA24 5,"2,648","1,271","1,377","2,626",22,14,"6,618",0.4
KA25 6,"3,970","1,881","2,089","3,970",-,7,96,41.28
KA25 7,"3,415","1,645","1,770","3,392",23,8,"3,996",0.85
KA26 0 (part) South Ayrshire,"5,784","2,772","3,012","5,713",71,37,"44,653",0.13
KA26 9,"5,009","2,414","2,595","4,964",45,45,"22,041",0.23
KA27 8,"4,660","2,232","2,428","4,448",212,80,"43,133",0.11
KA28 0,"1,376",671,705,"1,345",31,13,"1,430",0.96
KA29 0,"1,424",685,739,"1,418",6,22,72,19.82
KA3 1,"7,060","3,369","3,691","6,970",90,33,215,32.84
KA3 2 (part) East Ayrshire,"9,138","4,364","4,774","9,085",53,38,"1,522",6
